v=0.13.200,time=2025-03-01T01:00:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1494.1,cpukib=60033196,rssanonkib=59005152,cputime_sec=322216
v=0.13.200,time=2025-03-01T01:00:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482033
v=0.13.200,time=2025-03-01T01:05:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482033
v=0.13.200,time=2025-03-01T01:05:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1494.9,cpukib=57722284,rssanonkib=56609100,cputime_sec=326857
v=0.13.200,time=2025-03-01T01:10:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1495.5,cpukib=57246508,rssanonkib=56137928,cputime_sec=331477
v=0.13.200,time=2025-03-01T01:10:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482034
v=0.13.200,time=2025-03-01T01:15:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1496.6,cpukib=98367164,rssanonkib=84239660,cputime_sec=336219
v=0.13.200,time=2025-03-01T01:15:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482034
v=0.13.200,time=2025-03-01T01:20:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1496.9,cpukib=55615292,rssanonkib=54646396,cputime_sec=340778
v=0.13.200,time=2025-03-01T01:20:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482034
v=0.13.200,time=2025-03-01T01:25:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482035
v=0.13.200,time=2025-03-01T01:25:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1497,cpukib=62344972,rssanonkib=62135784,cputime_sec=345290
v=0.13.200,time=2025-03-01T01:30:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1498.2,cpukib=71180812,rssanonkib=69906768,cputime_sec=350052
v=0.13.200,time=2025-03-01T01:30:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482035
v=0.13.200,time=2025-03-01T01:35:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1499.5,cpukib=58844620,rssanonkib=57759048,cputime_sec=354862
v=0.13.200,time=2025-03-01T01:35:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482035
v=0.13.200,time=2025-03-01T01:40:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1499.5,cpukib=60136012,rssanonkib=59244096,cputime_sec=359367
v=0.13.200,time=2025-03-01T01:40:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482035
v=0.13.200,time=2025-03-01T01:45:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482036
v=0.13.200,time=2025-03-01T01:45:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1499.6,cpukib=60509876,rssanonkib=59695336,cputime_sec=363895
v=0.13.200,time=2025-03-01T01:50:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1501.3,cpukib=128341940,rssanonkib=113630248,cputime_sec=368808
v=0.13.200,time=2025-03-01T01:50:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482036
v=0.13.200,time=2025-03-01T01:55:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482036
v=0.13.200,time=2025-03-01T01:55:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1500.8,cpukib=59150596,rssanonkib=57993796,cputime_sec=373171
v=0.13.200,time=2025-03-01T02:00:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482037
v=0.13.200,time=2025-03-01T02:00:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1499.8,cpukib=117671064,rssanonkib=101380628,cputime_sec=377436
v=0.13.200,time=2025-03-01T02:05:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1499.9,cpukib=47290208,rssanonkib=46836216,cputime_sec=381959
v=0.13.200,time=2025-03-01T02:05:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482037
v=0.13.200,time=2025-03-01T02:10:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1497.2,cpukib=76924816,rssanonkib=75570884,cputime_sec=385774
v=0.13.200,time=2025-03-01T02:10:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482037
v=0.13.200,time=2025-03-01T02:15:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1497.6,cpukib=79201776,rssanonkib=77934964,cputime_sec=390362
v=0.13.200,time=2025-03-01T02:15:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482037
v=0.13.200,time=2025-03-01T02:20:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1494.9,cpukib=107782680,rssanonkib=98784568,cputime_sec=394135
v=0.13.200,time=2025-03-01T02:20:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482038
v=0.13.200,time=2025-03-01T02:25:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482038
v=0.13.200,time=2025-03-01T02:25:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1494.1,cpukib=117672060,rssanonkib=109273960,cputime_sec=398402
v=0.13.200,time=2025-03-01T02:30:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1492.8,cpukib=123653876,rssanonkib=115842340,cputime_sec=402532
v=0.13.200,time=2025-03-01T02:30:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482038
v=0.13.200,time=2025-03-01T02:35:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1492.2,cpukib=56705432,rssanonkib=55946692,cputime_sec=406869
v=0.13.200,time=2025-03-01T02:35:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482038
v=0.13.200,time=2025-03-01T02:40:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=892242
v=0.13.200,time=2025-03-01T02:45:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652064,rssanonkib=1143788,cputime_sec=892267
v=0.13.200,time=2025-03-01T02:45:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=787.9,cpukib=79481180,rssanonkib=45821636,cputime_sec=1343
v=0.13.200,time=2025-03-01T02:50:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652064,rssanonkib=1143788,cputime_sec=892267
v=0.13.200,time=2025-03-01T02:50:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=910.4,cpukib=239833752,rssanonkib=217485948,cputime_sec=4283
v=0.13.200,time=2025-03-01T02:55:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652064,rssanonkib=1143788,cputime_sec=892268
v=0.13.200,time=2025-03-01T02:55:01+01:00,host=c1-7.fox,user=ec-aad,cmd=diann-1.8.1.8,job=1354233,pid=2765099,ppid=2757492,cpu%=1623,cpukib=8607680,rssanonkib=8428604,cputime_sec=4698
v=0.13.200,time=2025-03-01T02:55:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=578.1,cpukib=239835016,rssanonkib=217552508,cputime_sec=4453
v=0.13.200,time=2025-03-01T03:00:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=416.1,cpukib=239835016,rssanonkib=217552508,cputime_sec=4454
v=0.13.200,time=2025-03-01T03:00:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652064,rssanonkib=1143788,cputime_sec=892268
v=0.13.200,time=2025-03-01T03:00:01+01:00,host=c1-7.fox,user=ec-aad,cmd=diann-1.8.1.8,job=1354233,pid=2765099,ppid=2757492,cpu%=1751,cpukib=8791636,rssanonkib=8594688,cputime_sec=10321
v=0.13.200,time=2025-03-01T03:05:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652064,rssanonkib=1143788,cputime_sec=892268
v=0.13.200,time=2025-03-01T03:05:01+01:00,host=c1-7.fox,user=ec-aad,cmd=diann-1.8.1.8,job=1354233,pid=2765099,ppid=2757492,cpu%=1792.8,cpukib=8891804,rssanonkib=8671948,cputime_sec=15946
v=0.13.200,time=2025-03-01T03:05:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=325,cpukib=239835016,rssanonkib=217552508,cputime_sec=4454
v=0.13.200,time=2025-03-01T03:10:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=266.6,cpukib=239835016,rssanonkib=217552508,cputime_sec=4454
v=0.13.200,time=2025-03-01T03:10:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652064,rssanonkib=1143788,cputime_sec=892269
v=0.13.200,time=2025-03-01T03:10:01+01:00,host=c1-7.fox,user=ec-aad,cmd=diann-1.8.1.8,job=1354233,pid=2765099,ppid=2757492,cpu%=1811.2,cpukib=9376540,rssanonkib=9064532,cputime_sec=21543
v=0.13.200,time=2025-03-01T03:15:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=240.3,cpukib=239948552,rssanonkib=226536060,cputime_sec=27451
v=0.13.200,time=2025-03-01T03:15:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652064,rssanonkib=1143788,cputime_sec=892269
v=0.13.200,time=2025-03-01T03:20:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652064,rssanonkib=1143788,cputime_sec=892269
v=0.13.200,time=2025-03-01T03:20:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=274,cpukib=239988748,rssanonkib=237722236,cputime_sec=28938
v=0.13.200,time=2025-03-01T03:25:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=300.3,cpukib=239993908,rssanonkib=238064252,cputime_sec=30436
v=0.13.200,time=2025-03-01T03:25:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652192,rssanonkib=1144812,cputime_sec=892269
v=0.13.200,time=2025-03-01T03:30:02+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=321.3,cpukib=239995032,rssanonkib=238240380,cputime_sec=31944
v=0.13.200,time=2025-03-01T03:30:02+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652192,rssanonkib=1144812,cputime_sec=892270
v=0.13.200,time=2025-03-01T03:35:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652192,rssanonkib=1144812,cputime_sec=892270
v=0.13.200,time=2025-03-01T03:35:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=334.1,cpukib=293261616,rssanonkib=290595452,cputime_sec=33309
v=0.13.200,time=2025-03-01T03:40:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652192,rssanonkib=1144812,cputime_sec=892270
v=0.13.200,time=2025-03-01T03:40:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=344.4,cpukib=300571612,rssanonkib=298460796,cputime_sec=34669
v=0.13.200,time=2025-03-01T03:45:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1144812,cputime_sec=892270
v=0.13.200,time=2025-03-01T03:45:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=353,cpukib=300572180,rssanonkib=298476156,cputime_sec=36027
v=0.13.200,time=2025-03-01T03:50:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=360.3,cpukib=307609228,rssanonkib=305347196,cputime_sec=37384
v=0.13.200,time=2025-03-01T03:50:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1144812,cputime_sec=892271
v=0.13.200,time=2025-03-01T03:55:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1144812,cputime_sec=892271
v=0.13.200,time=2025-03-01T03:55:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=366.4,cpukib=307613876,rssanonkib=305776252,cputime_sec=38730
v=0.13.200,time=2025-03-01T04:00:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=371.6,cpukib=307614068,rssanonkib=305776252,cputime_sec=40071
v=0.13.200,time=2025-03-01T04:00:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1144812,cputime_sec=892271
v=0.13.200,time=2025-03-01T04:05:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1144812,cputime_sec=892272
v=0.13.200,time=2025-03-01T04:05:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=376.4,cpukib=314378836,rssanonkib=312328828,cputime_sec=41423
v=0.13.200,time=2025-03-01T04:10:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1144812,cputime_sec=892272
v=0.13.200,time=2025-03-01T04:10:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=382.4,cpukib=313845592,rssanonkib=312221952,cputime_sec=42871
v=0.13.200,time=2025-03-01T04:15:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1144812,cputime_sec=892272
v=0.13.200,time=2025-03-01T04:15:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=388,cpukib=345219320,rssanonkib=342557952,cputime_sec=44331
v=0.13.200,time=2025-03-01T04:20:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1154752,cputime_sec=892273
v=0.13.200,time=2025-03-01T04:20:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=393.5,cpukib=345219436,rssanonkib=342560000,cputime_sec=45818
v=0.13.200,time=2025-03-01T04:25:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1155776,cputime_sec=892273
v=0.13.200,time=2025-03-01T04:25:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=397.7,cpukib=345219528,rssanonkib=342563072,cputime_sec=47255
v=0.13.200,time=2025-03-01T04:30:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=401.6,cpukib=360210492,rssanonkib=357065712,cputime_sec=48705
v=0.13.200,time=2025-03-01T04:30:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1155776,cputime_sec=892273
v=0.13.200,time=2025-03-01T04:35:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1155776,cputime_sec=892273
v=0.13.200,time=2025-03-01T04:35:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=403.2,cpukib=360214760,rssanonkib=357183472,cputime_sec=50016
v=0.13.200,time=2025-03-01T04:40:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1155776,cputime_sec=892274
v=0.13.200,time=2025-03-01T04:40:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=406.7,cpukib=327808676,rssanonkib=326390268,cputime_sec=51476
v=0.13.200,time=2025-03-01T04:45:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1155776,cputime_sec=892274
v=0.13.200,time=2025-03-01T04:45:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=408.6,cpukib=327809320,rssanonkib=326662376,cputime_sec=52834
v=0.13.200,time=2025-03-01T04:50:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1155776,cputime_sec=892274
v=0.13.200,time=2025-03-01T04:50:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=409.9,cpukib=352651720,rssanonkib=350666984,cputime_sec=54162
v=0.13.200,time=2025-03-01T04:55:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652256,rssanonkib=1155776,cputime_sec=892275
v=0.13.200,time=2025-03-01T04:55:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=411,cpukib=352651812,rssanonkib=350668008,cputime_sec=55479
v=0.13.200,time=2025-03-01T05:00:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=412.5,cpukib=362031888,rssanonkib=359729384,cputime_sec=56832
